EcoDistrict,Province,Acid_Soil,Poor_Soil,Percentage
693,SK,0,-1,0.02222445
693,SK,0,0,0.07137793
692,AB,-1,-1,0.63668191
692,AB,-1,0,0.36303554
692,AB,0,-1,0
692,AB,0,0,0.00028255
691,SK,-1,-1,0.4577195
691,SK,-1,0,0.00001842
691,SK,0,-1,0.54226209
691,SK,0,0,0
690,SK,-1,-1,0.76184029
690,SK,-1,0,0.19222748
690,SK,0,-1,0
690,SK,0,0,0.04593223
689,SK,-1,-1,0.95579734
689,SK,-1,0,0
689,SK,0,-1,0.04420266
689,SK,0,0,0
688,AB,-1,-1,0.51334364
688,AB,-1,0,0.48216181
688,AB,0,-1,0
688,AB,0,0,0.00449455
687,AB,-1,-1,0.47119602
687,AB,-1,0,0.50044376
687,AB,0,-1,0
687,AB,0,0,0.02836021
687,SK,-1,-1,0.94553299
687,SK,-1,0,0.04896334
687,SK,0,-1,0.00550368
687,SK,0,0,0
686,AB,-1,-1,0.85670343
686,AB,-1,0,0.14329657
686,AB,0,-1,0
686,AB,0,0,0
686,SK,-1,-1,1
686,SK,-1,0,0
686,SK,0,-1,0
686,SK,0,0,0
685,SK,-1,-1,0.76337239
685,SK,-1,0,0.23662761
685,SK,0,-1,0
