Ecodistrict_ID,Province_ID,F_TOPO,P,PE
855,MB,0.042278825,396.59,598.15
940,BC,0.122222222,509.452381,415.6619048
943,BC,0.05,509.452381,415.6619048
944,BC,0.049345603,509.452381,415.6619048
950,BC,0.00871392,512.16,482.52
955,BC,0.057628233,317.7766667,428.19
956,BC,0.04264699,317.7766667,428.19
957,BC,0.110218235,386.9933333,404.9233333
958,BC,0.115369082,387.5666667,404.44
959,BC,0.065970441,479.9933333,506.0333333
960,BC,0.095578774,505.9133333,532.55
962,BC,0.05,509.452381,416.8571429
969,BC,0.05,348.3133333,508.2233333
971,BC,0.223341506,509.452381,416.8571429
972,BC,0.053587705,240.43,437.3833333
974,BC,0.141464729,349.83,516.99
975,BC,0.100775194,240.43,437.3833333
976,BC,0.062015424,327.8466667,566.2666667
977,BC,0.104935742,349.83,516.99
978,BC,0.142531891,159.47,679.8033333
979,BC,0.10557903,159.47,679.8033333
980,BC,0.158740741,307.88,488.2233333
981,BC,0.040955631,348.3133333,508.2233333
982,BC,0.064980543,349.83,516.99
987,BC,0.160518519,327.8466667,566.2666667
988,BC,0.073058935,394.6833333,584.3
990,BC,0.110243708,274.1433333,640.4333333
991,BC,0.077320164,274.1433333,640.4333333
992,BC,0.153846154,274.1433333,640.5633333
995,BC,0.048226325,332.5066667,544.5533333
1001,BC,0.06503646,159.47,679.8033333
1002,BC,0.005434783,621.8727273,533.1772727
1003,BC,0.05,621.8727273,533.1772727
1004,BC,0.071736204,159.47,678.0166667
1005,BC,0.120990763,159.47,679.45
1006,BC,0.107958963,179.92,663.7166667
1007,BC,0.074375856,190.55,644.0166667
1008,BC,0.040747483,190.9666667,646.6533333
1009,BC,0.003935905,222.1633333,682.64
1010,BC,0.02667203,196.92,669.0433333
1011,BC,0.455399061,170.9416667,615.2041667
1012,BC,0.055996046,190.9666667,646.6533333
1013,BC,0.006002149,272.444,524.516
1015,BC,0.075393003,274.1433333,640.5633333
1016,AB,0.103949049,332.5066667,544.5533333
1017,BC,0.073298429,329.1033333,587.8033333
1018,AB,0.130559578,326.4033333,574.45
9593,AB,0.140414292,321.09,481.1733333
9607,AB,0.150041922,286.6214286,490.4357143
9609,AB,0.151652351,375.92,498.3333333
9687,AB,0.03000311,326.04,544.77
9787,AB,0.224465851,268.51,639.4066667
