Inv_Year,Province_Sale_ID,Fert_ID,Fert_Name,Fraction
2005,QC,3,Anhydrous ammonia,0.041135748
2005,QC,4,Other,0.433530651
2005,SK,1,Urea,0.468010682
2005,SK,2,Urea ammonium nitrate,0.117952383
2005,SK,3,Anhydrous ammonia,0.268326626
2005,SK,4,Other,0.14571031
2006,AB,1,Urea,0.537325463
2006,AB,2,Urea ammonium nitrate,0.029869853
2006,AB,3,Anhydrous ammonia,0.277979281
2006,AB,4,Other,0.154825404
2006,Atlantic,1,Urea,0.146310433
2006,Atlantic,2,Urea ammonium nitrate,0.097964377
2006,Atlantic,3,Anhydrous ammonia,0
2006,Atlantic,4,Other,0.755725191
2006,BC,1,Urea,0.740888667
2006,BC,2,Urea ammonium nitrate,0.027958063
2006,BC,3,Anhydrous ammonia,0.122815776
2006,BC,4,Other,0.108337494
2006,MB,1,Urea,0.304614414
2006,MB,2,Urea ammonium nitrate,0.149118812
2006,MB,3,Anhydrous ammonia,0.436705091
2006,MB,4,Other,0.109561683
2006,ON,1,Urea,0.508765139
2006,ON,2,Urea ammonium nitrate,0.253940165
2006,ON,3,Anhydrous ammonia,0.122435437
2006,ON,4,Other,0.11485926
2006,QC,1,Urea,0.378600823
2006,QC,2,Urea ammonium nitrate,0.149482816
2006,QC,3,Anhydrous ammonia,0.045601157
2006,QC,4,Other,0.426315204
2006,SK,1,Urea,0.458581895
2006,SK,2,Urea ammonium nitrate,0.164791608
2006,SK,3,Anhydrous ammonia,0.247868039
2006,SK,4,Other,0.128758458
2007,AB,1,Urea,0.575247969
2007,AB,2,Urea ammonium nitrate,0.029144047
2007,AB,3,Anhydrous ammonia,0.257724805
2007,AB,4,Other,0.137883179
2007,Atlantic,1,Urea,0.410307235
2007,Atlantic,2,Urea ammonium nitrate,0
2007,Atlantic,3,Anhydrous ammonia,0
2007,Atlantic,4,Other,0.589692765
2007,BC,1,Urea,0.813333333
2007,BC,2,Urea ammonium nitrate,0
2007,BC,3,Anhydrous ammonia,0
2007,BC,4,Other,0.186666667
2007,MB,1,Urea,0.290840004
2007,MB,2,Urea ammonium nitrate,0.15610303
2007,MB,3,Anhydrous ammonia,0.431619273
2007,MB,4,Other,0.121437693
2007,ON,1,Urea,0.665943878
2007,ON,2,Urea ammonium nitrate,0.275
2007,ON,3,Anhydrous ammonia,0
2007,ON,4,Other,0.059056122
2007,QC,1,Urea,0.640616549
2007,QC,2,Urea ammonium nitrate,0.157111952
2007,QC,3,Anhydrous ammonia,0
2007,QC,4,Other,0.202271498
2007,SK,1,Urea,0.449186848
2007,SK,2,Urea ammonium nitrate,0.157091116
2007,SK,3,Anhydrous ammonia,0.260599389
2007,SK,4,Other,0.133122648
2008,AB,1,Urea,0.620800032
2008,AB,2,Urea ammonium nitrate,0.027462901
2008,AB,3,Anhydrous ammonia,0.266513223
2008,AB,4,Other,0.085223844
2008,Atlantic,1,Urea,0.334451902
2008,Atlantic,2,Urea ammonium nitrate,0
2008,Atlantic,3,Anhydrous ammonia,0
2008,Atlantic,4,Other,0.665548098
2008,BC,1,Urea,0.813333333
2008,BC,2,Urea ammonium nitrate,0
2008,BC,3,Anhydrous ammonia,0
2008,BC,4,Other,0.186666667
2008,MB,1,Urea,0.29311978
2008,MB,2,Urea ammonium nitrate,0.164757886
2008,MB,3,Anhydrous ammonia,0.411894716
2008,MB,4,Other,0.130227618
2008,ON,1,Urea,0.318536336
2008,ON,2,Urea ammonium nitrate,0.324513449
2008,ON,3,Anhydrous ammonia,0.149427801
2008,ON,4,Other,0.207522414
2008,QC,1,Urea,0.467117988
2008,QC,2,Urea ammonium nitrate,0.213926499
2008,QC,3,Anhydrous ammonia,0
2008,QC,4,Other,0.318955513
2008,SK,1,Urea,0.449938689
